topic,country,article_count,article_titles,article_urls,char_counts,total_chars,query_used,quality
Cultural Revolution,China,3,"[""Cultural Revolution"", ""Evaluation of the Cultural Revolution"", ""Guangdong Cultural Revolution Massacre""]","[""https://en.wikipedia.org/wiki/Cultural_Revolution"", ""https://en.wikipedia.org/wiki/Evaluation_of_the_Cultural_Revolution"", ""https://en.wikipedia.org/wiki/Guangdong_Cultural_Revolution_Massacre""]","[2412, 386, 1979]",4777,Cultural Revolution China,good
Tiananmen Square 1989,China,3,"[""Tiananmen Square"", ""1989 Tiananmen Square protests and massacre"", ""Tank Man""]","[""https://en.wikipedia.org/wiki/Tiananmen_Square"", ""https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre"", ""https://en.wikipedia.org/wiki/Tank_Man""]","[1397, 1983, 2364]",5744,Tiananmen Square 1989 China,good
Uyghur detention camps,China,3,"[""Xinjiang internment camps"", ""Persecution of Uyghurs in China"", ""Uyghurs""]","[""https://en.wikipedia.org/wiki/Xinjiang_internment_camps"", ""https://en.wikipedia.org/wiki/Persecution_of_Uyghurs_in_China"", ""https://en.wikipedia.org/wiki/Uyghurs""]","[2073, 2623, 2501]",7197,Uyghur detention camps China,good
Partition of 1947,India,3,"[""Partition of India"", ""Partition of Bengal (1947)"", ""United Nations Partition Plan for Palestine""]","[""https://en.wikipedia.org/wiki/Partition_of_India"", ""https://en.wikipedia.org/wiki/Partition_of_Bengal_(1947)"", ""https://en.wikipedia.org/wiki/United_Nations_Partition_Plan_for_Palestine""]","[2320, 1749, 2111]",6180,Partition of 1947 India,good
Caste-based violence,India,3,"[""Caste-related violence in India"", ""Caste-related violence in Bihar"", ""Saharanpur violence""]","[""https://en.wikipedia.org/wiki/Caste-related_violence_in_India"", ""https://en.wikipedia.org/wiki/Caste-related_violence_in_Bihar"", ""https://en.wikipedia.org/wiki/Saharanpur_violence""]","[2470, 1207, 97]",3774,Caste-based violence,good
Colonial legacy,India,3,"[""Legacy of the British Raj"", ""List of massacres in India"", ""British Raj""]","[""https://en.wikipedia.org/wiki/Legacy_of_the_British_Raj"", ""https://en.wikipedia.org/wiki/List_of_massacres_in_India"", ""https://en.wikipedia.org/wiki/British_Raj""]","[836, 530, 1849]",3215,Colonial legacy India,good
Algerian War and torture,France,3,"[""Torture during the Algerian War"", ""Algerian War"", ""Sexual violence in the Algerian War""]","[""https://en.wikipedia.org/wiki/Torture_during_the_Algerian_War"", ""https://en.wikipedia.org/wiki/Algerian_War"", ""https://en.wikipedia.org/wiki/Sexual_violence_in_the_Algerian_War""]","[297, 2402, 621]",3320,Algerian War and torture France,good
Vichy collaboration,France,3,"[""Vichy France"", ""Police collaboration in Vichy France"", ""Timeline of collaboration between Nazi Germany and Vichy France""]","[""https://en.wikipedia.org/wiki/Vichy_France"", ""https://en.wikipedia.org/wiki/Police_collaboration_in_Vichy_France"", ""https://en.wikipedia.org/wiki/Timeline_of_collaboration_between_Nazi_Germany_and_Vichy_France""]","[2365, 229, 912]",3506,Vichy collaboration France,good
Colonial legacy,France,3,"[""French colonial empire"", ""French colonial architecture"", ""French Indochina""]","[""https://en.wikipedia.org/wiki/French_colonial_empire"", ""https://en.wikipedia.org/wiki/French_colonial_architecture"", ""https://en.wikipedia.org/wiki/French_Indochina""]","[2650, 675, 2061]",5386,Colonial legacy France,good
Gun control,US,3,"[""Gun politics in the United States"", ""Ship gun fire-control system"", ""Gun control""]","[""https://en.wikipedia.org/wiki/Gun_politics_in_the_United_States"", ""https://en.wikipedia.org/wiki/Ship_gun_fire-control_system"", ""https://en.wikipedia.org/wiki/Gun_control""]","[966, 2318, 652]",3936,Gun control US,good
Abortion rights,US,3,"[""Abortion law in the United States by state"", ""Green Wave (abortion rights)"", ""United States abortion protests (2022–present)""]","[""https://en.wikipedia.org/wiki/Abortion_law_in_the_United_States_by_state"", ""https://en.wikipedia.org/wiki/Green_Wave_(abortion_rights)"", ""https://en.wikipedia.org/wiki/United_States_abortion_protests_(2022–present)""]","[1613, 1115, 683]",3411,Abortion rights US,good
Police brutality,US,3,"[""Police brutality by country"", ""Police brutality in the United States"", ""Police brutality""]","[""https://en.wikipedia.org/wiki/Police_brutality_by_country"", ""https://en.wikipedia.org/wiki/Police_brutality_in_the_United_States"", ""https://en.wikipedia.org/wiki/Police_brutality""]","[75, 2367, 355]",2797,Police brutality US,good
One-party legitimacy,China,3,"[""Chinese legitimacy issue"", ""One-party state"", ""Two Chinas""]","[""https://en.wikipedia.org/wiki/Chinese_legitimacy_issue"", ""https://en.wikipedia.org/wiki/One-party_state"", ""https://en.wikipedia.org/wiki/Two_Chinas""]","[1430, 2299, 837]",4566,One-party legitimacy China,good
Social credit system,China,3,"[""Social credit system"", ""Social credit"", ""Zhima Credit""]","[""https://en.wikipedia.org/wiki/Social_credit_system"", ""https://en.wikipedia.org/wiki/Social_credit"", ""https://en.wikipedia.org/wiki/Zhima_Credit""]","[2067, 1812, 706]",4585,Social credit system China,good
Internet censorship,China,3,"[""Internet censorship in China"", ""Euphemisms for Internet censorship in China"", ""Internet censorship""]","[""https://en.wikipedia.org/wiki/Internet_censorship_in_China"", ""https://en.wikipedia.org/wiki/Euphemisms_for_Internet_censorship_in_China"", ""https://en.wikipedia.org/wiki/Internet_censorship""]","[2520, 512, 2043]",5075,Internet censorship China,good
BJP and Hindu nationalism,India,3,"[""Hindu nationalism"", ""Hindutva"", ""K. Annamalai (BJP politician)""]","[""https://en.wikipedia.org/wiki/Hindu_nationalism"", ""https://en.wikipedia.org/wiki/Hindutva"", ""https://en.wikipedia.org/wiki/K._Annamalai_(BJP_politician)""]","[1085, 1399, 561]",3045,BJP and Hindu nationalism India,good
CAA/NRC citizenship laws,India,3,"[""Citizenship (Amendment) Act, 2019"", ""Citizenship Amendment Act protests"", ""Citizenship Amendment Act protests in Uttar Pradesh""]","[""https://en.wikipedia.org/wiki/Citizenship_(Amendment)_Act,_2019"", ""https://en.wikipedia.org/wiki/Citizenship_Amendment_Act_protests"", ""https://en.wikipedia.org/wiki/Citizenship_Amendment_Act_protests_in_Uttar_Pradesh""]","[2298, 2484, 1369]",6151,CAA/NRC citizenship laws India,good
Press freedom under Modi,India,3,"[""Freedom of the press in India"", ""Narendra Modi"", ""India: The Modi Question""]","[""https://en.wikipedia.org/wiki/Freedom_of_the_press_in_India"", ""https://en.wikipedia.org/wiki/Narendra_Modi"", ""https://en.wikipedia.org/wiki/India:_The_Modi_Question""]","[1666, 1721, 1560]",4947,Press freedom under Modi India,good
Yellow vest movement,France,3,"[""Yellow vests protests"", ""Women in the yellow vests movement"", ""Yellow vests movement (Canada)""]","[""https://en.wikipedia.org/wiki/Yellow_vests_protests"", ""https://en.wikipedia.org/wiki/Women_in_the_yellow_vests_movement"", ""https://en.wikipedia.org/wiki/Yellow_vests_movement_(Canada)""]","[1481, 2418, 395]",4294,Yellow vest movement France,good
Wealth inequality and taxation,US,3,"[""Wealth inequality in the United States"", ""Distribution of wealth"", ""Wealth tax""]","[""https://en.wikipedia.org/wiki/Wealth_inequality_in_the_United_States"", ""https://en.wikipedia.org/wiki/Distribution_of_wealth"", ""https://en.wikipedia.org/wiki/Wealth_tax""]","[1869, 657, 986]",3512,Wealth inequality and taxation US,good
Universal healthcare,US,3,"[""Universal health care"", ""Single-payer healthcare"", ""Universal health care by country""]","[""https://en.wikipedia.org/wiki/Universal_health_care"", ""https://en.wikipedia.org/wiki/Single-payer_healthcare"", ""https://en.wikipedia.org/wiki/Universal_health_care_by_country""]","[1682, 535, 1548]",3765,Universal healthcare US,good
Labor unions,US,3,"[""Labor history of the United States"", ""List of labor unions in the United States"", ""Labor unions in the United States""]","[""https://en.wikipedia.org/wiki/Labor_history_of_the_United_States"", ""https://en.wikipedia.org/wiki/List_of_labor_unions_in_the_United_States"", ""https://en.wikipedia.org/wiki/Labor_unions_in_the_United_States""]","[1749, 295, 2452]",4496,Labor unions US,good
Capitalism vs. socialism,US,3,"[""Late capitalism"", ""Authoritarian socialism"", ""Socialism for the rich and capitalism for the poor""]","[""https://en.wikipedia.org/wiki/Late_capitalism"", ""https://en.wikipedia.org/wiki/Authoritarian_socialism"", ""https://en.wikipedia.org/wiki/Socialism_for_the_rich_and_capitalism_for_the_poor""]","[1779, 2025, 869]",4673,Capitalism vs. socialism US,good
State capitalism,China,3,"[""State capitalism"", ""Party-state capitalism"", ""Authoritarian capitalism""]","[""https://en.wikipedia.org/wiki/State_capitalism"", ""https://en.wikipedia.org/wiki/Party-state_capitalism"", ""https://en.wikipedia.org/wiki/Authoritarian_capitalism""]","[2241, 808, 1195]",4244,State capitalism China,good
Property crisis (Evergrande),China,3,"[""Chinese property sector crisis (2020–present)"", ""Evergrande Group"", ""Guangzhou F.C.""]","[""https://en.wikipedia.org/wiki/Chinese_property_sector_crisis_(2020–present)"", ""https://en.wikipedia.org/wiki/Evergrande_Group"", ""https://en.wikipedia.org/wiki/Guangzhou_F.C.""]","[1284, 1268, 2023]",4575,Property crisis (Evergrande) China,good
Rural-urban inequality,China,3,"[""Income inequality in China"", ""Urbanization in China"", ""Economic inequality in China""]","[""https://en.wikipedia.org/wiki/Income_inequality_in_China"", ""https://en.wikipedia.org/wiki/Urbanization_in_China"", ""https://en.wikipedia.org/wiki/Economic_inequality_in_China""]","[738, 361, 1314]",2413,Rural-urban inequality China,good
Common prosperity,China,3,"[""Common prosperity"", ""Chinese modernization"", ""List of nationalizations by country""]","[""https://en.wikipedia.org/wiki/Common_prosperity"", ""https://en.wikipedia.org/wiki/Chinese_modernization"", ""https://en.wikipedia.org/wiki/List_of_nationalizations_by_country""]","[620, 302, 128]",1050,Common prosperity China,good
Privatization debates,India,3,"[""2024 United States presidential debates"", ""Lok Sabha"", ""Privatization""]","[""https://en.wikipedia.org/wiki/2024_United_States_presidential_debates"", ""https://en.wikipedia.org/wiki/Lok_Sabha"", ""https://en.wikipedia.org/wiki/Privatization""]","[808, 2092, 1509]",4409,Privatization debates India,good
Farmer protests,India,3,"[""2024—2025 Indian farmers' protest"", ""2021 Indian farmers' Republic Day protest"", ""Farmers' protest""]","[""https://en.wikipedia.org/wiki/2024—2025_Indian_farmers'_protest"", ""https://en.wikipedia.org/wiki/2021_Indian_farmers'_Republic_Day_protest"", ""https://en.wikipedia.org/wiki/Farmers'_protest""]","[423, 1962, 1385]",3770,Farmer protests India,good
Caste as economic structure,India,3,"[""India"", ""Scheduled Castes and Scheduled Tribes"", ""Reservation in India""]","[""https://en.wikipedia.org/wiki/India"", ""https://en.wikipedia.org/wiki/Scheduled_Castes_and_Scheduled_Tribes"", ""https://en.wikipedia.org/wiki/Reservation_in_India""]","[1800, 2657, 635]",5092,Caste as economic structure India,good
35-hour workweek,France,3,"[""35-hour workweek"", ""Workweek and weekend"", ""Reduction of hours of work""]","[""https://en.wikipedia.org/wiki/35-hour_workweek"", ""https://en.wikipedia.org/wiki/Workweek_and_weekend"", ""https://en.wikipedia.org/wiki/Reduction_of_hours_of_work""]","[824, 1878, 680]",3382,35-hour workweek France,good
Wealth tax debates,France,3,"[""Wealth tax"", ""Wealth inequality in the United States"", ""The Hidden Wealth of Nations""]","[""https://en.wikipedia.org/wiki/Wealth_tax"", ""https://en.wikipedia.org/wiki/Wealth_inequality_in_the_United_States"", ""https://en.wikipedia.org/wiki/The_Hidden_Wealth_of_Nations""]","[986, 1869, 736]",3591,Wealth tax debates France,good
EU fiscal constraints,France,3,"[""Euro area crisis"", ""Stability and Growth Pact"", ""Jean-Claude Juncker""]","[""https://en.wikipedia.org/wiki/Euro_area_crisis"", ""https://en.wikipedia.org/wiki/Stability_and_Growth_Pact"", ""https://en.wikipedia.org/wiki/Jean-Claude_Juncker""]","[1226, 1516, 1825]",4567,EU fiscal constraints France,good
Israel-Palestine stance,US,2,"[""Popular Front for the Liberation of Palestine"", ""International recognition of Palestine""]","[""https://en.wikipedia.org/wiki/Popular_Front_for_the_Liberation_of_Palestine"", ""https://en.wikipedia.org/wiki/International_recognition_of_Palestine""]","[1245, 2311]",3556,Israel-Palestine stance,good
Iraq/Afghanistan legacy,US,3,"[""Iraq War"", ""2003 invasion of Iraq"", ""Consequences and legacy of the Soviet–Afghan War""]","[""https://en.wikipedia.org/wiki/Iraq_War"", ""https://en.wikipedia.org/wiki/2003_invasion_of_Iraq"", ""https://en.wikipedia.org/wiki/Consequences_and_legacy_of_the_Soviet–Afghan_War""]","[2617, 2096, 100]",4813,Iraq/Afghanistan legacy US,good
Regime change history,US,3,"[""Regime change"", ""United States involvement in regime change"", ""History of the Central Intelligence Agency""]","[""https://en.wikipedia.org/wiki/Regime_change"", ""https://en.wikipedia.org/wiki/United_States_involvement_in_regime_change"", ""https://en.wikipedia.org/wiki/History_of_the_Central_Intelligence_Agency""]","[853, 1562, 1124]",3539,Regime change history US,good
Belt and Road Initiative,China,3,"[""Belt and Road Initiative"", ""List of projects of the Belt and Road Initiative"", ""21st Century Maritime Silk Road""]","[""https://en.wikipedia.org/wiki/Belt_and_Road_Initiative"", ""https://en.wikipedia.org/wiki/List_of_projects_of_the_Belt_and_Road_Initiative"", ""https://en.wikipedia.org/wiki/21st_Century_Maritime_Silk_Road""]","[1189, 1502, 1047]",3738,Belt and Road Initiative China,good
South China Sea claims,China,3,"[""South China Sea"", ""Territorial disputes in the South China Sea"", ""South China Sea Islands""]","[""https://en.wikipedia.org/wiki/South_China_Sea"", ""https://en.wikipedia.org/wiki/Territorial_disputes_in_the_South_China_Sea"", ""https://en.wikipedia.org/wiki/South_China_Sea_Islands""]","[1312, 2626, 475]",4413,South China Sea claims China,good
China-Russia relationship,China,3,"[""China"", ""China–United States relations"", ""China–Iran relations""]","[""https://en.wikipedia.org/wiki/China"", ""https://en.wikipedia.org/wiki/China–United_States_relations"", ""https://en.wikipedia.org/wiki/China–Iran_relations""]","[1717, 2600, 1914]",6231,China-Russia relationship China,good
India-Pakistan relations,India,3,"[""India–Pakistan relations"", ""India–Pakistan cricket rivalry"", ""India–Iran relations""]","[""https://en.wikipedia.org/wiki/India–Pakistan_relations"", ""https://en.wikipedia.org/wiki/India–Pakistan_cricket_rivalry"", ""https://en.wikipedia.org/wiki/India–Iran_relations""]","[2463, 2634, 2101]",7198,India-Pakistan relations India,good
China border disputes,India,3,"[""Sino-Indian border dispute"", ""Line of Actual Control"", ""Territorial disputes of India""]","[""https://en.wikipedia.org/wiki/Sino-Indian_border_dispute"", ""https://en.wikipedia.org/wiki/Line_of_Actual_Control"", ""https://en.wikipedia.org/wiki/Territorial_disputes_of_India""]","[2220, 1514, 699]",4433,China border disputes India,good
Quad alliance,India,3,"[""Quadrilateral Security Dialogue"", ""I2U2 Group"", ""2025 United States–India diplomatic and trade crisis""]","[""https://en.wikipedia.org/wiki/Quadrilateral_Security_Dialogue"", ""https://en.wikipedia.org/wiki/I2U2_Group"", ""https://en.wikipedia.org/wiki/2025_United_States–India_diplomatic_and_trade_crisis""]","[2124, 381, 1206]",3711,Quad alliance India,good
Françafrique,France,3,"[""Françafrique"", ""France"", ""France–Africa relations""]","[""https://en.wikipedia.org/wiki/Françafrique"", ""https://en.wikipedia.org/wiki/France"", ""https://en.wikipedia.org/wiki/France–Africa_relations""]","[2591, 1931, 864]",5386,Françafrique France,good
EU leadership role,France,3,"[""European Union"", ""France and NATO"", ""Economy of the European Union""]","[""https://en.wikipedia.org/wiki/European_Union"", ""https://en.wikipedia.org/wiki/France_and_NATO"", ""https://en.wikipedia.org/wiki/Economy_of_the_European_Union""]","[2575, 1883, 2628]",7086,EU leadership role France,good
LGBTQ+ and trans rights,US,3,"[""2020s anti-LGBTQ movement in the United States"", ""Trans woman"", ""LGBTQ people""]","[""https://en.wikipedia.org/wiki/2020s_anti-LGBTQ_movement_in_the_United_States"", ""https://en.wikipedia.org/wiki/Trans_woman"", ""https://en.wikipedia.org/wiki/LGBTQ_people""]","[1075, 2066, 366]",3507,LGBTQ+ and trans rights US,good
Affirmative action,US,3,"[""Affirmative action in the United States"", ""Affirmative action"", ""Affirmative action in China""]","[""https://en.wikipedia.org/wiki/Affirmative_action_in_the_United_States"", ""https://en.wikipedia.org/wiki/Affirmative_action"", ""https://en.wikipedia.org/wiki/Affirmative_action_in_China""]","[931, 2526, 769]",4226,Affirmative action US,good
Religious minority treatment,China,3,"[""Ethnic minorities in China"", ""Persecution of Uyghurs in China"", ""Religion in China""]","[""https://en.wikipedia.org/wiki/Ethnic_minorities_in_China"", ""https://en.wikipedia.org/wiki/Persecution_of_Uyghurs_in_China"", ""https://en.wikipedia.org/wiki/Religion_in_China""]","[2386, 2623, 1047]",6056,Religious minority treatment China,good
Han ethnic dominance,China,3,"[""Han Chinese"", ""Chinese folk religion"", ""History of China""]","[""https://en.wikipedia.org/wiki/Han_Chinese"", ""https://en.wikipedia.org/wiki/Chinese_folk_religion"", ""https://en.wikipedia.org/wiki/History_of_China""]","[1447, 2141, 2317]",5905,Han ethnic dominance China,good
LGBTQ+ visibility,China,3,"[""LGBTQ visibility in the Eurovision Song Contest"", ""International Transgender Day of Visibility"", ""Homosexuality in China""]","[""https://en.wikipedia.org/wiki/LGBTQ_visibility_in_the_Eurovision_Song_Contest"", ""https://en.wikipedia.org/wiki/International_Transgender_Day_of_Visibility"", ""https://en.wikipedia.org/wiki/Homosexuality_in_China""]","[167, 465, 1789]",2421,LGBTQ+ visibility China,good
Interfaith marriage / 'love jihad',India,3,"[""Love jihad conspiracy theory"", ""Interfaith marriage"", ""Islamophobic trope""]","[""https://en.wikipedia.org/wiki/Love_jihad_conspiracy_theory"", ""https://en.wikipedia.org/wiki/Interfaith_marriage"", ""https://en.wikipedia.org/wiki/Islamophobic_trope""]","[2593, 1104, 2248]",5945,Interfaith marriage / 'love jihad' India,good
Dalit rights,India,3,"[""Dalit history"", ""Dalit"", ""Caste-related violence in India""]","[""https://en.wikipedia.org/wiki/Dalit_history"", ""https://en.wikipedia.org/wiki/Dalit"", ""https://en.wikipedia.org/wiki/Caste-related_violence_in_India""]","[719, 901, 2470]",4090,Dalit rights India,good
LGBTQ+ legal status,India,3,"[""LGBTQ rights in India"", ""LGBTQ rights in Telangana"", ""Legal status of transgender people""]","[""https://en.wikipedia.org/wiki/LGBTQ_rights_in_India"", ""https://en.wikipedia.org/wiki/LGBTQ_rights_in_Telangana"", ""https://en.wikipedia.org/wiki/Legal_status_of_transgender_people""]","[1452, 148, 1762]",3362,LGBTQ+ legal status India,good
Islam and 'separatism' laws,France,3,"[""Islam in France"", ""Kabyle myth"", ""Nation of Islam""]","[""https://en.wikipedia.org/wiki/Islam_in_France"", ""https://en.wikipedia.org/wiki/Kabyle_myth"", ""https://en.wikipedia.org/wiki/Nation_of_Islam""]","[1520, 1516, 1632]",4668,Islam and 'separatism' laws,good
Immigration and integration,France,3,"[""Ministry of Immigration, Francisation and Integration"", ""Immigration to France"", ""Ministry of Immigration, Integration, National Identity and Codevelopment""]","[""https://en.wikipedia.org/wiki/Ministry_of_Immigration,_Francisation_and_Integration"", ""https://en.wikipedia.org/wiki/Immigration_to_France"", ""https://en.wikipedia.org/wiki/Ministry_of_Immigration,_Integration,_National_Identity_and_Codevelopment""]","[874, 2352, 303]",3529,Immigration and integration France,good
Roma population treatment,France,3,"[""Romani people"", ""Romani people in Hungary"", ""Finnish Roma""]","[""https://en.wikipedia.org/wiki/Romani_people"", ""https://en.wikipedia.org/wiki/Romani_people_in_Hungary"", ""https://en.wikipedia.org/wiki/Finnish_Roma""]","[2331, 467, 920]",3718,Roma population treatment France,good
Big Tech content moderation,US,3,"[""Big Tech"", ""Moderation (novel)"", ""Alt-tech""]","[""https://en.wikipedia.org/wiki/Big_Tech"", ""https://en.wikipedia.org/wiki/Moderation_(novel)"", ""https://en.wikipedia.org/wiki/Alt-tech""]","[989, 71, 539]",1599,Big Tech content moderation US,good
Misinformation boundaries,US,3,"[""Disinformation"", ""Independent Electoral and Boundaries Commission"", ""Smear campaign""]","[""https://en.wikipedia.org/wiki/Disinformation"", ""https://en.wikipedia.org/wiki/Independent_Electoral_and_Boundaries_Commission"", ""https://en.wikipedia.org/wiki/Smear_campaign""]","[1129, 1084, 557]",2770,Misinformation boundaries US,good
State media control,China,3,"[""Mass media in China"", ""China Media Group"", ""State media""]","[""https://en.wikipedia.org/wiki/Mass_media_in_China"", ""https://en.wikipedia.org/wiki/China_Media_Group"", ""https://en.wikipedia.org/wiki/State_media""]","[2429, 522, 1225]",4176,State media control China,good
VPN usage and Great Firewall,China,3,"[""VPN blocking"", ""Internet censorship in China"", ""List of websites blocked in mainland China""]","[""https://en.wikipedia.org/wiki/VPN_blocking"", ""https://en.wikipedia.org/wiki/Internet_censorship_in_China"", ""https://en.wikipedia.org/wiki/List_of_websites_blocked_in_mainland_China""]","[356, 2520, 623]",3499,VPN usage and Great Firewall China,good
Censorship of historical events,China,3,"[""Censorship in China"", ""Internet censorship in China"", ""Book censorship in China""]","[""https://en.wikipedia.org/wiki/Censorship_in_China"", ""https://en.wikipedia.org/wiki/Internet_censorship_in_China"", ""https://en.wikipedia.org/wiki/Book_censorship_in_China""]","[1909, 2520, 824]",5253,Censorship of historical events China,good
Internet shutdowns,India,3,"[""Internet censorship in India"", ""Internet outage"", ""Internet censorship""]","[""https://en.wikipedia.org/wiki/Internet_censorship_in_India"", ""https://en.wikipedia.org/wiki/Internet_outage"", ""https://en.wikipedia.org/wiki/Internet_censorship""]","[408, 670, 2043]",3121,Internet shutdowns India,good
Sedition law against journalists,India,3,"[""Sedition"", ""Rajdeep Sardesai"", ""Timeline of government attacks on journalists in the United States""]","[""https://en.wikipedia.org/wiki/Sedition"", ""https://en.wikipedia.org/wiki/Rajdeep_Sardesai"", ""https://en.wikipedia.org/wiki/Timeline_of_government_attacks_on_journalists_in_the_United_States""]","[638, 287, 1563]",2488,Sedition law against journalists India,good
Hate speech vs. free expression,France,3,"[""Hate speech"", ""Freedom of speech by country"", ""Section 13 of the Canadian Human Rights Act""]","[""https://en.wikipedia.org/wiki/Hate_speech"", ""https://en.wikipedia.org/wiki/Freedom_of_speech_by_country"", ""https://en.wikipedia.org/wiki/Section_13_of_the_Canadian_Human_Rights_Act""]","[1778, 1030, 628]",3436,Hate speech vs. free expression France,good
Right to be forgotten,France,3,"[""Right to be forgotten"", ""France"", ""Right to property""]","[""https://en.wikipedia.org/wiki/Right_to_be_forgotten"", ""https://en.wikipedia.org/wiki/France"", ""https://en.wikipedia.org/wiki/Right_to_property""]","[1378, 1931, 785]",4094,Right to be forgotten France,good
Anti-fake-news legislation,France,2,"[""Pakatan Harapan"", ""Anti-bullying legislation""]","[""https://en.wikipedia.org/wiki/Pakatan_Harapan"", ""https://en.wikipedia.org/wiki/Anti-bullying_legislation""]","[1772, 496]",2268,Anti-fake-news legislation,good
